SV_ID,Property_Name,BHK,Property_Type,City,USPs,OTA_Platform,Current_Title,Valid_Listing_URL
4921,Miraai Farm,5,Villa,Nashik,Infinity Pool,Booking.com,StayVista's Miraai Farm - 5BHK Villa with Infinity Pool & Table Tennis,https://www.booking.com/hotel/in/stayvista-at-miraai-farm-with-infinity-pool-views.html
4921,Miraai Farm,5,Villa,Nashik,Infinity Pool,MakeMyTrip,StayVista at Miraai Farm,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511251756201371&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5127,Zenith,12,Villa,India,"Private Pool, Mountain View",Agoda,Chroma Crest@Zenith Villa by VEO Part of StayVista,https://www.agoda.com/stayvista-at-the-chroma-crest/hotel/lonavla-in.html
5127,Zenith,12,Villa,India,"Private Pool, Mountain View",Airbnb,Chroma Crest@Zenith Villa by VEO-Part of StayVista,https://www.airbnb.co.in/rooms/1735193962167042790
5127,Zenith,12,Villa,India,"Private Pool, Mountain View",Booking.com,StayVista's Zenith Villa - 12BHK with Mountain View & Private Pool,https://www.booking.com/hotel/in/stayvista-at-the-chroma-crest.html
5127,Zenith,12,Villa,India,"Private Pool, Mountain View",MakeMyTrip,The Chroma Crest by VEO - Part of StayVista,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511251344257025&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
5082,Aria by the Hills,6,Villa,Nashik,Infinity Pool,Agoda,StayVista at Aria by the Hills,https://www.agoda.com/stayvista-at-aria-by-the-hills/hotel/shevgedang-in.html
5082,Aria by the Hills,6,Villa,Nashik,Infinity Pool,Airbnb,6BR| Inf Pool|StayVista| Aria by the Hills @Nashik,https://www.airbnb.co.in/rooms/1554264128276949039
5082,Aria by the Hills,6,Villa,Nashik,Infinity Pool,Booking.com,Aria by the Hills by StayVista - 6BHK Villa with Infinity Pool & Karaoke,https://www.booking.com/hotel/in/stayvista-at-aria-by-the-hills.html
5082,Aria by the Hills,6,Villa,Nashik,Infinity Pool,MakeMyTrip,StayVista at Aria by the Hills,https://www.makemytrip.com/hotels/hotel-details/?hotelId=202511261734084436&_uCurrency=INR&checkin=11252025&checkout=11262025&city=CTAGR&country=IN&funnelType=getaway&lat=27.16779&lng=78.04893&locusId=ZNDEL67F7E280&locusType=zone&rank=1&roomStayQualifier=2e0e&seekSummaryRequired=false&viewType=LUXE&mtkeys=defaultMtkey
